"age","study_hours","self_study_hours","social_media_hours","gaming_hours","sleep_hours","screen_time_hours","mental_health_score","focus_index","burnout_level","productivity_score","exam_score"
"17","3.29","3.88","5.21","0","10","9.47","9","30.52","40.36","48.19","24.3"
"21","2.6","2.99","2.71","2.53","4.7","3.65","8","24.24","38.06","37.5","22.18"
"22","4.14","1.13","1.8","2.53","6.08","10.81","5","24.77","48.89","29.46","11.46"
"18","5.94","0.47","2.45","2.62","6.74","6.18","10","36.67","67.15","54.7","29.22"
"17","3.29","3.92","3.61","0.46","7.31","3.56","10","42.07","45.48","50.25","31.39"
"24","3.58","4.91","4.25","0","6.92","6.73","8","25.83","51.44","35.68","23.11"
"19","4.06","3.41","1.9","0.79","6.52","4.91","8","45.88","27.33","45.83","39.8"
"21","0.53","2.89","1.52","3.52","7.47","8.45","4","12.74","52.2","1","1"
"16","2.12","0.61","1.95","1.66","6.57","5.02","3","14.39","22.39","25.29","18.54"
"18","2.59","2.33","2.13","1.55","7.18","8.42","2","25.78","46.05","21.13","15.42"
"22","7.29","3.51","6.04","0","7.53","9.71","3","28.74","30.2","49.56","14.43"
"18","7.24","2.22","3.7","2.39","5.93","6.58","5","31.01","37.7","46.71","21.93"
"20","5.66","2.71","2.45","3.89","7.74","6.54","3","27.49","43.1","29.45","7.95"
"20","4.73","0.71","4.93","2.1","6.68","5.94","2","6.54","41.12","15.82","3.28"
"22","4.14","2.22","3.58","0","7.56","6.66","3","22.55","49.82","23.31","16.47"
"19","6.14","2.62","2.36","0","7.07","6.6","6","40.88","40.04","62.99","38.31"
"16","2.29","3.85","4","1.1","6.12","7.09","6","26.45","48.16","13.75","4.33"
"22","6.8","1.4","5.88","0","6.73","7.25","2","23.45","30.69","45.1","26.65"
"20","2.86","3.1","1.94","1.53","6.36","6.79","4","28.87","64.48","18.61","15.41"
"23","4.56","0","6.37","2.51","5.95","11.87","9","20.7","55.93","40.61","15.6"
"22","6.94","0.34","3.01","1.33","5.29","6.28","3","29.18","37.44","42.93","26.02"
"23","2.1","1.94","0","0.58","5.78","7.18","4","31.6","66","15.84","5.76"
"17","1.97","4.43","0","1.3","5.26","10.49","9","35.02","67.82","32.16","1"
"21","4.08","2.64","3.37","2.55","6.79","5.77","10","42.23","61.42","48.76","23.74"
"23","4.65","1.76","3.25","2.39","6.29","6.1","1","13.62","47.62","23.81","10.13"
"25","3.53","3.33","3.15","1.38","7.07","5.49","9","39.46","49.23","39.34","22.49"
"18","6.63","1.37","3.55","1.63","7.76","3.8","2","32.9","32.52","42.01","26.34"
"20","6.13","3.57","2.71","2.68","7.33","2.41","2","22.34","35.07","28.39","8.36"
"24","4.56","2.66","0.58","2.82","8.19","5.7","9","45.86","27.85","65.02","40.11"
"17","4.05","4.6","0.03","2.32","6.88","3.77","2","29.45","38.16","20.45","10.05"
"18","3.05","2.15","2.49","1.15","6.25","4.76","1","13.54","43.27","17.14","1"
"17","6.31","0.38","2.87","0.31","7.54","6.94","8","34.49","22.37","56.05","25.53"
"17","6.32","3.38","3.11","1.09","5.08","2.32","6","42.24","66.5","46.57","18.01"
"19","4.5","2.66","1.01","1.09","9.18","6.38","1","29.04","27.5","35.08","23.12"
"21","4.9","1.56","3.08","1.54","7.48","6.29","3","29.04","38.91","27.83","15.16"
"25","2.27","2.75","1.24","2.81","6.92","3.68","7","31.7","61.19","20.69","12.34"
"16","8.65","1.34","1.51","1.43","8.63","5.45","6","43.23","21.17","75.28","48.56"
"24","5.69","4.16","2.69","1.24","6.32","5.94","4","25.43","36.8","42.64","18.21"
"17","7.55","3.95","2.03","3.44","7.4","7.56","1","30.78","63.65","44.46","21.95"
"22","5.53","3.05","0.55","2.05","7.29","6.32","1","33.88","52.24","29.89","18.02"
"19","0.5","1.05","3.82","1.7","10","1","6","11.17","10.42","25.38","14.5"
"19","5.21","0","1.02","0.82","7.66","3.17","4","21.89","37.07","31.25","16.13"
"21","6.81","1.2","2.4","1","4.95","7.73","9","50.33","45.28","70.97","44.71"
"25","2.78","2.04","3.87","0.68","9.29","10.91","8","32.16","25.43","31.24","20.5"
"23","3.76","0.78","4.21","0","6.99","7.71","1","16.38","47.36","23.07","1.07"
"25","4.22","3.31","1.43","0","7.43","8.74","8","54.44","51.65","49.8","34.05"
"18","5.69","2.27","2.93","3.94","7.11","11.02","5","21.93","37.07","37.68","18.66"
"19","3.4","3.27","4.21","1.96","8.95","9.85","1","7.28","34.14","8.31","1"
"19","1.34","3.68","2.28","0.65","6.43","4.78","2","22.99","23.83","12.52","5.59"
"19","4.64","0.24","3.6","0","7.2","6.08","4","26.51","48.95","32.69","13.61"
"24","1.24","4.08","1.91","2.06","9.74","3.47","8","39.96","38.65","28.36","24.91"
"22","6.32","2.73","1.86","0.56","5.56","5.44","4","29.22","67.75","39.64","15.82"
"25","4.18","3.72","0.41","2.47","7.71","8.94","2","22.56","30.24","33.13","7.94"
"23","6.14","4.16","3.04","0","7.93","6.71","4","39.69","35.67","40.46","26.92"
"22","3.28","4.08","1.31","0.51","5.65","6.91","1","20.83","49.26","19.22","7.68"
"19","8.29","4.72","1.98","2.25","6.8","9.42","2","25.75","62.19","33.98","15.98"
"25","0.02","2.11","4.46","3.69","6.67","9.27","2","10.16","40.66","1","1"
"22","1.48","2.07","0","0.9","7.42","5.48","7","33.95","13.38","41.01","22.94"
"22","4.62","2.49","3.21","0","8.96","7.46","7","44.31","31.53","66.46","45.2"
"22","4.41","2.24","3.16","4.36","6.16","7.24","9","28.75","54.8","49.14","19.24"
"17","5.62","2.31","2.69","2.2","9.8","13.42","10","39.54","51.03","66.62","32.61"
"19","4.38","2.46","5.14","2.55","9.81","6.02","9","26.9","14.68","62.47","34.19"
"20","6.37","3.86","2.75","0","7.44","8.77","3","28.83","47.42","31.59","16.97"
"19","6.93","3.54","5.24","3.17","8.1","3.11","6","43.45","44.77","61.38","34.72"
"17","5.41","4.64","1.05","3.74","8.13","1.53","6","40.36","25.33","48.99","36.37"
"16","4.5","2.63","2.99","1.65","8.87","1","1","22.38","20.02","30.39","18.43"
"21","6.71","3.71","4.72","3.62","6.87","4.38","2","27.74","27.59","45.73","27.31"
"24","2.89","2.3","0.08","3.14","7.86","9.66","1","20.22","41.9","9.18","1"
"22","3.24","2.53","4.87","0","9.46","10.35","9","32.42","48.67","44.41","1.76"
"24","2.95","2.01","0.41","1.7","7.9","7.35","8","36.36","54.28","44.05","16.17"
"25","0.89","0","2.3","0.77","8.75","2.99","2","10.48","31.9","1","1"
"17","5.79","2.92","3.57","0","5.67","7.89","6","37.14","69.23","46.81","16.7"
"16","1.71","3.83","3.05","2.77","8.01","1","7","25.5","34.61","27.85","16.5"
"19","4.45","2.16","2","1.1","7.85","5.85","7","38.52","42.49","40.98","20.99"
"17","2.48","3.52","5.1","1.16","7.76","7.98","2","13.63","43.52","19.25","1"
"19","3.25","1.55","2.99","1.87","6.52","7.64","2","17.92","60.5","3.81","1"
"20","4.91","2.66","3.42","2.76","4.99","7.82","3","6.8","71.79","24.27","1"
"23","2.5","1.25","1.05","0.13","8.12","1.68","1","25.21","15.74","22.28","20.45"
"22","4.99","5.08","3.65","2.34","6.6","8.17","5","30.26","68.72","34.82","12.47"
"17","3.66","2.17","3.78","1.98","7.92","11.08","9","41.73","41.69","49.48","24.97"
"20","4.79","3.49","2.7","2.88","10","8.43","1","24.15","29.76","31.82","13.77"
"19","5.09","4.23","0.05","2.7","5.53","6.6","2","27.87","35.31","29.84","11.69"
"19","2.42","2.84","1.52","0.46","8.2","7.19","7","33.78","64.61","24.11","12.37"
"23","3.7","2.47","1.01","2.06","7.83","5.83","10","40.11","37.25","56.41","41.83"
"22","5.05","0.98","3.12","1.33","9.33","6.38","10","30.92","32.5","56.08","34.13"
"24","5.42","3.55","2.66","2.85","6.13","6.54","7","36.5","58.64","41.28","23.04"
"22","5.65","2.32","3.49","3.28","7.96","10.24","8","36.8","69.11","39.54","15.16"
"20","3.7","1.66","3.13","2.86","6.98","11.16","2","18.04","58.76","13.6","3.72"
"20","2.77","2.23","5.34","1.02","7.47","6.08","10","36.24","44.79","46.62","21.69"
"23","2.62","5.4","0.66","0.81","7.2","6.32","7","44.66","51.04","48.11","34.56"
"16","7.07","1.62","2.27","3.97","7.26","8.07","7","36.67","54.24","50.21","29.7"
"16","4.34","1.66","3.16","2.26","5.54","6.05","9","24.86","70.76","39.76","8.35"
"25","3.94","2.9","5.98","0","5.27","4.93","7","29.88","65.35","40.15","20.4"
"24","3.95","3.25","3.62","0.31","8.73","6.69","6","35.26","33.95","50.04","23.03"
"24","4.98","2.13","4.96","2.84","5.54","7.54","3","17.89","60.56","16.45","3.53"
"20","3.04","3.41","3.81","1.34","8.58","9.03","3","25.39","35.04","23.13","14.86"
"24","8.04","4.67","4.44","0.89","8","3.76","5","48.82","41","61.19","34.74"
"22","3.8","1.7","3.8","1.12","6.8","7.4","5","22.58","53.04","28.95","17.35"
"17","3.91","3.69","4.06","1.43","6.02","7.31","2","22.55","65.94","12.98","7.26"
"22","2.92","4.54","3.91","2.92","6.85","2.73","7","32.57","12.87","42.1","42.34"
"24","7.57","2.3","1.7","2.92","5.86","7.62","4","31.73","37.7","48.98","24.08"
"23","4.34","1.54","4.46","0.1","9.25","8.86","5","38.69","26.79","50.82","31.56"
"25","4.58","0","3.28","2.27","6.1","6.48","1","17.48","59.44","15.49","1"
"17","5.76","2.82","4.06","3","7.69","7.11","4","22.68","38.24","43.51","21.08"
"23","2.81","1.56","3.58","1.8","7.91","3.92","5","20.29","40.53","27.67","25.52"
"17","1.57","1.86","1.83","1.43","5.74","7.62","7","26.5","71.68","19.01","3.69"
"23","2.58","3.33","2.33","3.16","5.69","3.25","10","29.18","27.37","41.41","29.57"
"25","4.74","2.14","2.35","1.49","7.21","6.67","5","30.41","18.57","39.86","22.45"
"24","0","1.22","2.16","0","6.74","8.31","10","21.65","63.74","23.36","8.04"
"23","6.25","2.59","3.76","3.11","8.14","7.41","5","25.99","52.1","43.09","13.23"
"17","5.69","2.67","1.67","0.5","6.39","5.78","6","33.91","27.81","51.29","36.11"
"19","1.92","0","2.13","1.41","6.51","5.95","10","26.34","40","34.37","13.99"
"17","4.29","3.53","4.55","1.17","6.08","7.31","10","32.73","54.94","55.75","19.55"
"24","2.81","3.12","5.99","1.53","6.02","9.02","9","25.07","56.01","26.22","18.61"
"23","4.08","1.17","2.43","3.21","7.92","7.76","10","27.91","47.62","40.45","21.84"
"21","6.29","2.82","0.63","1.01","7.13","7.85","9","48.35","53.2","57.65","32.1"
"17","4.29","0.98","3.25","1.47","8.57","6.06","6","32.15","41.06","35.66","19.23"
"18","3.94","4.32","2.05","0.65","7.21","5.51","9","40.41","42.56","51.51","32.14"
"21","5.28","3.47","7.02","1.84","7.65","5.62","6","25.66","25.72","51.44","26.69"
"18","4.7","5.35","3.16","2.54","8.56","9.8","3","31.86","36.72","32.4","12.8"
"18","3.93","2.87","4.15","2.19","4","7.85","7","21.22","63.22","30.16","12.36"
"25","5.13","1.48","0","0","5.64","5.82","6","27.75","56.91","45.63","16.48"
"19","3.22","3.29","4.05","2.56","7.54","11.51","5","25.55","49.68","25.94","10.01"
"18","5","4.91","5.03","1.6","7.71","8.02","2","24.99","47.77","28.55","5.14"
"22","8.52","0.84","4.61","4.37","4.76","6.61","7","34.94","61.81","56.58","31.95"
"23","5.69","2","3.47","1.03","9.05","12.08","8","34.98","26.44","58.79","32.6"
"25","5.73","2.2","1.14","2.98","7.01","5.37","9","40.23","36.86","67.44","44.19"
"17","3.58","4.15","2.84","1.32","7.28","5.08","1","22.43","27.43","18.61","12.69"
"19","4.13","2.96","3.74","0","9.33","6.98","8","38.04","50.14","44.72","23.91"
"24","6.75","1.94","1.85","0","7.84","6.37","5","36.3","29.65","58.39","34.85"
"19","3.63","3.2","2.64","0.64","8.33","3.36","5","31.38","52.82","28.54","7.85"
"23","4.35","2.94","4.9","0.77","7.56","3.71","2","21.58","33.95","31.19","21.46"
"25","5.89","1.44","1.91","2.75","7.17","7.1","9","35.21","50.48","57.96","44.12"
"25","4.65","2.29","3.45","1.79","6.06","6.86","9","31.47","46.54","47.51","30.46"
"19","5.81","1.78","4.34","1.49","6.9","7.77","1","16.5","45.32","32.89","9.84"
"19","5.21","3.4","2.99","3.14","8.3","11.51","7","35.02","38.42","48.42","29.39"
"21","3.01","2.68","1.28","0.16","5.89","8.79","3","32.54","67.14","16.09","2.27"
"22","6.47","4.01","3.82","3.16","8.25","6.38","4","35.54","33.16","50.18","30.72"
"16","2.72","0.78","3.5","0","6.23","8.28","10","38.28","67.06","46.57","28.2"
"24","9.38","1.33","1.21","0.67","7.4","8.11","6","45.6","45.73","71.16","34.63"
"23","5.72","0.95","2.38","1.66","10","4.57","6","33.57","8.43","58.3","46.93"
"23","4.4","1.49","6.35","0","6.73","6.36","4","19.95","39.38","36.51","10.27"
"20","4.12","3.24","2.24","0.23","6.28","8.92","6","29.55","68.36","28.78","12.2"
"20","4.13","1.97","4.55","0.85","6.45","8.72","1","16.02","48.6","14.52","6.2"
"21","1.02","0.01","2.11","0.28","7.68","7.82","2","15.57","21.92","13.63","16.45"
"16","5.96","0.48","2.31","1.95","7.83","2.75","5","29","35.87","54.15","28.91"
"24","4.12","4.35","4.68","0","7.38","4.44","5","27.61","36.55","34.26","15.33"
"25","5.16","3.13","1.18","2.42","10","3.5","4","44.34","14.26","48.61","35.45"
"18","3.45","2.6","2.45","2.19","6.35","7.67","4","31.24","55.6","27.92","16.2"
"21","4.31","1.4","2.58","0.87","8.8","8.88","7","41.43","32.86","40.77","27.48"
"17","3.43","3.64","2.52","1.76","6.86","6.06","9","29","45.78","48.8","23.68"
"21","5.61","2.94","1.73","1.11","8.77","4.11","10","44.81","45.01","60.78","26.73"
"25","8.15","3.39","4.82","1.62","5.51","8.79","1","33.31","36.68","51.83","26.96"
"18","4.44","3.03","4.84","0.94","7.47","4.5","8","33.86","60.84","42.53","15.86"
"20","4.59","1.12","3.51","2.28","6.42","5.91","5","14.28","60.53","29.62","1.3"
"19","3.64","2.86","3.51","1.48","8.04","6.61","5","26.15","39.5","36.17","15.26"
"16","2.22","1.88","1.23","0.7","7.2","11.31","4","19.13","49.65","11.66","1"
"19","5.73","0.05","2.25","0","9.84","5.33","10","40.16","24.97","63.59","44.64"
"23","5.83","3.99","3.33","0","6.38","4.96","7","29.54","68.9","33.26","2.01"
"23","1.98","2.63","3.74","2.42","7.46","13.62","8","36.99","38.33","44.52","28.32"
"18","3.15","2.94","0.83","1.33","5.85","7.41","6","33.38","58.41","29.18","21.08"
"21","5.03","1.97","2.81","1.33","7.52","3.85","6","26.39","51.01","34.31","14.37"
"17","6.32","3.94","2.97","0.84","6.94","10.34","7","39.97","48.82","56.69","27.27"
"23","5.17","2.99","2.94","1.84","8.51","4.82","6","35.17","38.77","48.72","28.77"
"21","6.69","0.86","2.15","4.49","7.63","4.89","6","29.47","32.91","54.23","27.79"
"25","5.01","0.45","0.55","0.41","7.35","1.06","8","35.46","41.06","60.29","27.64"
"17","5.05","3.23","3.59","2.58","8.05","2.12","3","20.98","26.39","36.03","18.58"
"18","5.76","3.41","4.92","0","7.02","4.3","2","29.32","34.69","44.52","29.14"
"24","5.27","0.86","2.96","1.47","7.76","10.84","6","31.23","34.22","43.9","25.07"
"21","2.92","2.09","4.23","0","8.15","6.72","1","13.84","22.51","18.09","11.1"
"16","5.31","3.82","1.38","1.15","7.25","6.74","9","47.02","54.94","48.74","26.29"
"25","7.01","2","2.26","2.75","6.49","4.54","3","30.86","33.31","41.93","16.43"
"19","5.2","0.56","3.25","3.94","7.74","4.15","2","23.65","20.9","32.66","18.7"
"19","3.86","4.74","2.71","0.07","8","4.88","2","30.76","14.29","36.01","22.28"
"19","4.04","3.64","1.06","0.37","8","8.01","10","46.96","29.71","62.84","29.95"
"17","7.63","1.64","2.8","0.67","6.91","7.85","8","43.33","51.06","58.8","26.99"
"23","3.5","0.49","1.93","0","8.71","7","7","41.37","33.12","41.07","20.98"
"22","4.33","2.08","2.94","1.36","6.3","5.83","6","32.38","44.58","36.26","23.71"
"19","7.76","1.78","0.31","2.96","5.31","10.61","10","36.34","51.68","57.26","32.18"
"17","0.2","1.34","2.79","3.83","6.97","8.54","7","12.3","65.25","8.32","1"
"23","7.21","1.97","0.94","1.05","6.84","9.11","7","39.47","47.21","62.1","27.31"
"18","4.76","2.76","3.13","1.74","4.78","6.81","9","31.97","66.69","35.48","18.46"
"22","6.27","0.92","1.36","1.31","7.41","8.9","2","24.13","61.15","23.62","4.05"
"21","5.95","0.87","3.48","3.4","7.29","2.59","4","32.7","45","43.03","26.69"
"25","4.85","2.46","0.46","0.38","6.86","6.37","3","26.76","30.52","33.03","24.97"
"24","2.39","0.93","4.36","1.08","7.49","5.83","9","26.72","50.21","39.16","24.21"
"25","4.8","3.66","2.11","1.69","6.61","5.96","8","30.25","43.52","48.79","21.35"
"20","6.94","0.96","3.82","0","7.42","4.58","8","41.02","47.72","63.11","44.77"
"23","2.47","2.45","3.18","0.56","7.39","6.35","5","27.33","58.73","17.72","9.02"
"24","4.5","2.1","5.35","2.1","8.82","3.88","9","27.94","17.15","51.47","27.63"
"21","2.57","1.16","4.73","2.56","7.36","9.95","3","8.28","48.63","12.2","1"
"25","5.47","4.67","2.93","1.49","7.33","5.27","2","27.79","28.84","33.25","17.38"
"18","0.74","1.16","2.04","0.61","6.1","4.9","7","24.1","28.09","29.97","13.4"
"20","2.72","1.46","3.39","2.92","7.23","7.82","10","27.03","38.81","45.63","15.88"
"19","6.98","3.54","2.56","1.61","6.75","7.56","2","35.74","39.84","42.05","21.44"
"19","4.56","4","3.39","1.86","8.53","7.3","1","24.59","41.38","29.91","18.19"
"17","5.51","1.59","3.39","4.63","7.95","7.7","1","23.01","57.64","22.45","10.97"
"23","5.35","3.88","0.95","1.08","8.24","3.63","6","47.33","28.87","69.14","42.81"
"24","2.61","4.32","0","0.14","8.59","6.25","10","47.32","28.69","48.91","37.04"
"21","3.77","2.9","1.98","2.09","6.98","6.78","9","41.45","56.9","41.45","19.37"
"23","3","1.91","4.77","2.06","6.1","8.24","4","13.91","45.79","19.93","1"
"23","5.72","0","1.94","0.75","4.82","5.4","8","33.06","31.33","52.57","32.86"
"23","4.61","3.59","2.66","3","5.5","4.45","1","13.01","64.52","1","1"
"21","6.95","0.11","4.01","0.33","4.18","10.67","5","28.32","62.41","35.13","11.95"
"16","6.29","3","2.25","1.26","7.42","2.77","6","41.76","35.62","44.97","16.62"
"16","3.5","0","4.54","1.04","4.6","5.02","8","24.39","73.67","24.61","8.52"
"24","3.75","1.97","1.49","0.26","8.53","3.71","10","54.23","29.5","57.67","41.48"
"17","4.19","1.84","5.54","1.18","7.32","6.11","9","32.24","35.35","33.52","10.11"
"16","4.45","3.11","4.72","1.9","7.34","6.25","3","17.61","59.68","20.68","3.12"
"20","4.03","3.46","6.02","2.51","6.63","5.73","3","24.8","29.84","42.95","8.32"
"21","1.32","3.23","2.08","0.31","9.24","11.45","5","31.57","33.43","18.46","16.33"
"20","0.68","1.3","1.23","0.03","7.29","11.17","3","21.27","44.37","12.63","7.21"
"21","1.98","3.51","1.11","0","6.42","9.93","8","28.71","38.54","32.03","11.76"
"16","4.65","3.32","0.6","2.33","6.62","7.73","8","34.38","54.31","47.98","24.83"
"23","1.01","3.56","3.18","0","6.6","7.51","5","20.97","48.81","21.21","6.76"
"17","2.07","2.26","3.91","3.25","7.43","6.58","10","20.44","43.35","25.31","17.92"
"18","6.41","3.09","1.84","2.35","6.34","4.27","3","28.59","45.88","36.87","14.77"
"18","2.38","4.58","3.12","1.96","8.89","7.82","6","30.85","45.55","22.5","2.99"
"23","2.3","1.44","1.21","1.86","7.11","8.37","9","31.93","47.4","24.31","7.66"
"23","4.63","2.27","5.06","2.77","6.95","5.71","2","20.28","27.62","33.71","21.03"
"19","3.44","3.05","2.1","1.23","7.5","3.49","4","23.57","38.89","28.22","9.21"
"22","2.51","2.28","0","1.06","7.1","6.79","7","41.12","57.38","35.08","10.11"
"17","3.04","3.54","0.62","1.12","6.21","5.77","4","32.04","48.21","26.17","11.87"
"24","3.26","1.89","2.53","2.38","8.8","8.17","3","26.47","14.21","37.42","30.53"
"20","4.12","2.86","2.65","1.8","8.76","8.44","2","26.34","53.9","27.42","17.9"
"17","7.31","1.55","3.04","0","7.29","9.33","4","39.14","50.73","45.72","18.78"
"22","3.26","0.74","3.12","1.18","8.88","5.26","1","14.12","27.91","10.26","14.36"
"21","7.64","1.91","2.25","0.65","7.35","5.25","5","49.89","41.17","64.89","41.9"
"25","3.21","3.24","1.15","0","9.62","7.75","1","36.97","27.99","30.13","20.73"
"16","8.69","2.96","5.87","1","6.73","6.71","1","19.18","35.65","40.01","18.55"
"19","8.8","2.47","5.93","1.4","7.56","6.62","6","34.5","50.04","52.77","12.85"
"17","5.53","1.8","2.08","0","6.78","8.02","7","32.45","52.53","52.66","36.05"
"19","3.16","4","4.41","1.9","7.37","8.52","6","25.3","34.8","29.41","23.98"
"23","4.2","4.18","5.67","1.29","8.25","3.99","6","33.96","29.37","43.52","17.61"
"23","7.37","1.66","5.03","0.32","7.07","5.5","10","42","49.08","64.48","26.03"
"23","3.32","1.33","3.76","5.51","7.88","5.14","4","11.68","35.49","18.61","7.25"
"21","8.55","2.6","2.59","0","8.31","6.99","9","54.71","37.28","91.13","53.9"
"19","5.35","0.3","2.16","0.65","6.18","10.25","4","19.72","47.08","26.37","1.13"
"22","7.24","2.49","2.32","2.86","6.02","5.39","1","25.16","68.74","25.42","2.92"
"19","1.76","4.03","3.57","1.23","5.32","6.62","5","21.35","43.15","9.33","8.45"
"21","3.09","1.85","5.6","3.16","7.55","6.08","5","12.91","34.18","22.61","1"
"17","5.22","3","2.82","1.16","8.1","2.03","8","47.29","18.46","79.77","48.78"
"21","1.8","1.71","1.47","0","6.65","6.04","6","20.57","36.86","19.44","6.37"
"25","2.65","3.49","3.69","0","7.74","5.21","9","38.43","46.4","37.18","12.86"
"17","3.22","2.35","2.12","1.04","6.54","1","4","20.45","29.55","24.18","14.61"
"19","5.24","1.27","5.14","1.26","6.07","8.46","1","16.62","40.27","22.31","16.92"
"25","1.16","2.18","0.54","0.94","6.28","7.46","6","23.28","70.06","15.95","1"
"17","5.65","2.36","4.87","2.44","6.12","10.95","4","24.84","46.5","37.43","23.5"
"21","8.06","3.37","0.89","1.48","8.96","5.28","4","56.1","46.7","61.91","43.1"
"22","3.51","3.69","1.66","1.06","6.5","4.7","2","20.13","34.98","17.9","2.19"
"17","4.05","2.88","4.74","3.59","6.28","4.73","8","19.62","58.3","33.83","9.12"
"21","5.28","3.11","0.52","1.47","6.7","9.82","8","39.37","33.99","55.22","30.94"
"16","2.49","2.59","2.42","0.14","8.27","5.85","7","35.2","24.99","45.98","31.54"
"23","5.44","0.93","0.52","0.47","7.73","10.27","2","23.98","71.96","17.27","8.91"
"16","4.71","3.99","0.16","2.57","8.08","4.81","7","45.89","43.27","55.06","30.62"
"19","7.65","1.91","2.61","2.1","7.43","4.88","2","28.35","41.4","45.9","10.52"
"16","4.29","2.48","0.68","2.73","5.89","7.82","7","34.77","28.51","45.95","20.43"
"22","6.19","4.64","1.21","2.17","9.62","9.41","2","39.45","36.78","36.27","17.84"
"18","0.7","5.8","1.45","1.69","7.84","4.56","6","27.06","29.05","15.77","11.14"
"23","3.52","2.52","5.51","1.92","9.41","7.53","3","20.96","22.73","29.08","19.13"
"21","3.14","3.49","4.07","1.82","8.46","9.3","8","35.17","63.54","39.23","17.44"
"17","2.82","3.32","3.3","1.3","7.97","9.84","10","43.57","62.86","37.43","18.58"
"16","5.14","1.69","1.49","0.23","8.33","5.28","2","30.55","37.25","30.13","20.14"
"16","4.86","1.88","3.14","1.39","6.09","3.33","9","39.25","51.59","52.47","25.9"
"18","4.48","3.18","3.08","0","7.13","1","10","44.77","20.85","63.67","38.27"
"22","2.68","2.66","3.59","3.3","7.34","7.81","1","13.09","36.98","5.85","7.58"
"21","3.78","2.76","1.89","1.09","7.64","8.57","1","22.81","44.06","12.77","2.15"
"25","1.92","0.92","3.92","0","5.17","7.79","10","24.47","59.61","22.85","14"
"17","5.79","0.57","2.51","2.38","9.45","6","3","28.2","24.22","47.45","30.19"
"21","1.61","0.9","1.52","0","6","5.92","3","18.82","53.66","16.05","1"
"19","4.39","2.08","2.14","0","8.92","10.43","8","33.25","43.78","40.83","14.83"
"22","6.84","1.72","2.44","0.52","7.77","6.94","2","30.62","54.02","37.62","22.29"
